source_text,translated_text
Comprei o produto há 40 dias e ainda não foi entregue.,我 40 天前購買了該產品，但尚未發貨。
"O quadro é lindo, de boa qualidade. Chegou muito bem embalado, em perfeito estado. Parabéns à lannister.com e a loja parceira (targaryen).",畫很漂亮，品質很好。它到達時包裝完好，狀況完美。恭喜lannister.com 和合作夥伴商店（targaryen）。
"A pintura da placa é de péssima qualidade. Após manuseio para instalação, as bordas começaram a descascar. A impressão é borrada, sem nitidez, não corresponde à foto de apresentação. Não recomendo.",標誌上的油漆品質很差。安裝處理後，邊緣開始剝落。列印內容模糊、不清晰，與簡報照片不符。我不推薦它。
amei a colcha,我喜歡那被子
não utilizei o produto ainda,我還沒有使用過該產品
"Entrega antes do prazo marcado!
Muito satisfeito.","在預定期限前交貨！
非常滿意。"
"Cancelei o pedido e o mesmo não foi estornado. 
Obs: Já fazem 3 meses","我取消了訂單並且沒有退款。 
註：已經3個月了"
produto não funciona bem,產品效果不佳
Tudo certo e chegou rapidinho,一切都很好而且很快就到了
"produto de qualidade, entrega rápida, recomendo à todos.",優質的產品，交貨快捷，我推薦給大家。
"Gostei, produto de boa qualidade",我喜歡它，產品品質很好
"Parece bom, preciso usar para avaliar melhor",看起來不錯，要用一下才能評價比較好
adorei! super resistente e bonito o tapete! Recomendo,我愛過！地毯超耐用又漂亮！我推薦
Ótimo produto excelente site,很棒的產品很棒的網站
"Não vou recomendar a loja 😡 Porque eu comprei dois produtos e só recibi um. 
Entrei no site e o outro vcs cancelaram.","我不會推薦這家商店😡因為我買了兩種產品，只收到了一種。 
我去了那個網站，另一個你取消了。"
"As mamadeiras Philips Avent são ótimas, fortes e resistentes. Recomendo a todos os papais e mamães com seus filhos! Produto entregue antes so prazo e em perfeito estado!",飛利浦新安怡嬰兒奶瓶卓越、堅固且耐用。我推薦給所有帶著孩子的爸爸媽媽們！產品提前交付且狀況良好！
"A embalagem parece original, mas logo após a instalação a própria impressora informa que o suprimento NÃO É HP. No cartucho falta indicação da cor e o nome HP vem numa etiqueta de papel e não pintada.",包裝看起來是原廠的，但安裝後不久，印表機本身就告知該耗材不是惠普。墨盒沒有顏色指示，HP 名稱出現在紙質標籤上，但未塗漆。
"O produto foi o que pedi e entregue no prazo, porém veio com avarias na tampa traseira, mas a embalagem estava em perfeito estado.",該產品是我訂購並按時交付的，但後蓋有損壞，但包裝完好無損。
"Coqueteleira Top, produto com ótimo preço, entregue bem antes do prazo, recomendo!",頂級雞尾酒調酒器，產品價格實惠，提前交貨，我推薦它！
Era o que prescisava,這就是我所需要的
Eu ja tinha comprado um mas era maior esse que veio agora e bem menor do que o anterior,我已經買了一件，但現在到的那件比以前的大了很多，而且小了很多。
"Chegou muito antes do previsto, comprar pelo site é rápido, confiável e prático.",到貨比預期早得多，透過網站購買快速、可靠且實用。
Foi entregue super rápido e não tive nenhum problema com o produto,它交付得非常快，我對產品沒有任何問題。
"Estou acostumada a comprar produtos pelo baratheon. Super confiável, transparência, qualidade e agilidade. Super recomendo.",我習慣透過拜拉席恩購買產品。超可靠、透明、優質和敏捷。我強烈推薦它。
Produto chegou certinho e antes do prazo previsto!,產品及時提前到達！
"Muito boa , entregue dentro do.prazo!",非常好，準時送達！
Não recebi o produto liquid koolbloom,我沒有收到液體 koolbloom 產品
produto conforme anunciado entrega muito rapida,產品如廣告所示交貨非常快
Uma rede macia e grande. Adorei. Recomendo!!,又軟又大的吊床。我愛過。我推薦！ ！
Gostei muito da rapidez na entrega,我真的很喜歡交貨速度
Muitooo bom o produto...gostei,該產品非常好...我喜歡它
Adoro o perfume,我喜歡香水
"Eu recomendo , ótima compra",我推薦它，很棒的購買
"Eu amei o produto , super indico",我喜歡這個產品，我強烈推薦它
Recebi outro produto que não o que eu havia pedido.,我收到了與我訂購的產品不同的另一種產品。
Gostaria de saber o que aconteceu o prazo que me deram foi até dia 19 e nada ainda.,我想知道發生了什麼事，他們給我的截止日期是19號，但仍然沒有任何進展。
"O produto é replica de material frágil, paguei 125 fora quase 30 de frete por uma réplica, enquato na loja um e 250,e arrependi, se soubesse nunca compraria aq, não recomendado, horrível não gostei.",該產品是易碎材料製成的複製品，我為複製品支付了近 30 運費中的 125，而商店中的一個是 250，我後悔了，如果我知道我永遠不會購買它，不推薦，可怕，我不喜歡它。
"Gostei muito da mercadoria 
Parabéns","我真的很喜歡這些商品
恭喜你"
simplesmente ótima,簡直太棒了
baratheon melhor shop de compras,拜拉席恩最佳購物店
o produto veio pela metade e veio outro produto,產品到達了半成品，另一個產品到達了
Bom entregou no domingo,週日出貨很好
E ainda não querem fazer o cancelamento,他們仍然不想取消
"Olá, faltou a bolsa transparente para guardar os blocos, que aparece nas fotos no site da loja lannister. Veio tudo solto numa caixa de papelão. Aguardo retorno",您好，蘭尼斯特商店網站照片中出現的用於存放方塊的透明袋子丟失了。所有東西都散裝在一個紙箱裡。我等待你的歸來
"Produto bom. Se for realmente o que diz, trata-se de um excelente custo benefício.

Entrega feita surpreendentemente rápida.","好產品。如果真的像它所說的那樣，那麼它的性價比非常高。

交貨速度出奇地快。"
"comprei um produto e recebi outro
quero devolver","我購買了一個產品並收到了另一個產品
我想回來"
Entrega OK em tempo OK.,準時交貨。
Comnprei 03 transformadores de 100w da marca BAK modelo BK2121 e o que chegou em minha residência foi 03 transformadores de 50w de uma outra marca e modelo. Estou muito insatisfeito com a stark.,我買了比克品牌型號BK2121的03 100w變壓器，到家的是另一個品牌和型號的03 50w變壓器。我對史塔克很不滿意。
"A entrega foi no prazo, porem a caixa onde veio a mochila estava rasgada e as fitas descoladas, por sorte não danificou a mochila.",交貨準時，但背包的盒子被撕裂，絲帶也脫落了，幸運的是沒有損壞背包。
Foi ótimo comprar com vocês especialmente pelas informações recebidas constantemente em meu e-mail.,與您一起購物真是太棒了，尤其是因為我的電子郵件中不斷收到訊息。
lannister nota 10 !!!!,蘭尼斯特評分10！ ！ ！
"Gostei e funciona bem!
A entrega foi rápida.","我喜歡它並且效果很好！
交貨速度很快。"
"Produto veio correto, porém a cor veio trocado.",產品到達時正確，但顏色改變了。
recebi metade do produto .,我收到了一半的產品。
Excelente. Entrega antes do prazo.,出色的。提前交貨。
"sempre compro neste site 
entrega antes do previsto
nunca tive problema
recomendo","我總是從這個網站購買
提前交貨
我從來沒有遇到過問題
推薦"
"Adorei! Entregue no prazo determinado, em ótimo estado. Maravilhoso!",我愛過！準時交付，狀況良好。精彩的！
"Tudo perfeito, produto veio corretamente e sem atrasos",一切都很完美，產品正確到達，沒有延誤
Recebi somente uma unidade e paguei duas.,我只收到一個單位並支付了兩個單位。
INCLUSIVE QUERO O DINHEIRO DE VOLTA,我甚至想要回我的錢
Estou no aguardo da entrega da mercadoria que ainda não recebi.,我正在等待尚未收到的貨物的發貨。
"Parabéns ,o produto tira rico da empresa targaryen chegou normalmente, mas um segundo produto que também comprei não chegou até o momento na minha residência ,uma máquina de corta cabelo também adquirida.",恭喜，坦格利安公司的tira rico產品正常到貨了，但我也買的第二個產品還沒到達我家，還買了一個理髮器。
"Produto preto, reembalado na caixa de um branco. Muito amassado no fundo em um modo que qlr um perceberia, não estabiliza. Caixa em perfeito estado, foi amassado antes de ser entregue aos correios.",黑色產品，重新包裝在白色盒子中。底部非常凹陷，沒有人會注意到，它不穩定。盒子狀況良好，在送到郵局之前被壓碎。
BOM O PRODUTO,好產品
Produto muito bom porém não ganhou 5 estrelas porque veio com uma pequena falha de fabricação. Mas no geral é um produto muito bom...,非常好的產品，但它沒有獲得 5 顆星，因為它有一個小的製造缺陷。但總的來說，這是一個非常好的產品...
"Produto de boa qualidade, entregue no prazo combinado. A lannister está d parabéns",優質的產品，在約定的時間內交付。恭喜蘭尼斯特
"A entrega está demorada (20 dias), comprei 2 produtos e mandaram separado, só recebi 1 deles até agora. Não consigo saber quando irei e se irei receber meu Whey pq os Correios já deram baixa no código",交貨時間很長（20天），我買了2個產品，他們分開寄了，到目前為止我只收到了其中1個。我不知道我什麼時候去以及是否會收到我的乳清，因為郵局已經取消了代碼
"A mesinha veio muito bem embalada, em perfeitas condições. Dentro do prazo, tudo correto.",桌子包裝得很好，狀況完美。在期限內，一切正確。
Ótimo 👍🏼,太棒了👍🏼
nota 1000 !!!!!,評分1000！ ！ ！ ！
"Entrega rápida, produto de qualidade, tudo lindo como esperado",快速交貨，優質產品，一切都符合預期
"Produto recebido é o correto, mas teve significativo atraso na entrega.",收到的產品是正確的，但交貨明顯延遲。
"Excelente produto, bonito e sofisticado.",優秀的產品，美麗而精緻。
COMPREI A TAMPA PARA O COOKTOP CONSUL E EM NENHUM MOMENTO DIZIA QUE NÃO TINHA O PRODUTO. NO DEPOIS A PRIMEIRA PARCELA PAGA É QUE FIQUEI SABENDO DA NOVIDADE.,我為 COOKTOP CONSUL 買了蓋子，但它從來沒有說我沒有該產品。我是在支付第一期付款後才知道這個消息的。
topp,托普
De acordo com o anunciado. Recomendo!,正如廣告所宣傳的。我推薦！
"Para recomendar preciso ter 99% de certeza. Não recebi o produto até hoje. Vocês não sanaram meu problema. Atendimento confuso a resposta de vocês a minha solicitação não foi precisa, e até hoje nada.",為了推薦它，我需要有 99% 的把握。直到今天我才收到產品。你沒有解決我的問題。服務令人困惑，您對我的請求的答覆不準確，並且到今天為止什麼都沒有。
"Á Logística targaryen é ótima, á dificuldade em Itatiba é o serviço PÉSSIMO DOS CORREIOS.",坦格利安的物流很棒，伊塔蒂巴的困難在於糟糕的郵局服務。
"Na foto parecia cinza, porém eu queria preta mas comprei mesmo assim por que o valor estava ótimo. Chegou preta como eu gostaria. Amei!!!",照片中它看起來是灰色的，但我想要黑色，但我還是買了它，因為價值很高。它到達了我想要的黑色。我愛過！ ！ ！
Alem de ter um prazo de 1 mes para a entrega ainda não entregou até agora. Não dão informaçoes ou se comunicam com o cliente. Alem de anunciar sem ter o produto em estoque.,除了有1個月的交貨期限外，目前還沒有交付。他們不提供資訊或與客戶溝通。除了廣告之外，產品沒有庫存。
O material é de qualidade.,該材料是優質的。
Produto faz o que promete.,產品兌現其承諾。
Produto entregue em tempo hábil..,產品交付及時..
Comprei pensando q o material fosse mais resistente mas não.,我購買它時認為這種材料會更耐用，但事實並非如此。
Realizei a compra de um secador na voltagem de 220v. Recebi um na voltagem de 127v.No momento da troca n havia disponível no 220.Por este motivo quero meu dinheiro de volta.,我買了一個220v電壓的烘乾機。我收到了一個電壓為127v的。在交換時，沒有 220 可用。出於這個原因，我想要回我的錢。
Empresa de confiança.,值得信賴的公司。
Trabalho de qualidade,優質工作
"Comprei tres aparelhos LG, conforme pedido a NF está com 3 produtos e só recebi 2, no mesmo dia entrei em contato e até o momento não obtive nenhuma resposta.",我照要求買了三台LG設備，NF有3個產品，我只收到了2個，當天我聯絡了他們，到目前為止我還沒有收到任何回應。
Produto entregue no prazo. Recomendo,產品準時交貨。我推薦
"Não recebi um produto, o porta-chaves, apenas os quadros.",我沒有收到產品、鑰匙圈，只是收到了畫作。
Ótimo produto! Entrega rápida,很棒的產品！交貨快捷
"Porém o Correios abriram a caixa ou por algum peso em cima acabou abrindo a ,mas foi tranquilo e tudo como no anúncio de venda ! Apenas a loja caprichar mas na embalagem",然而，郵局打開了盒子，或者由於頂部有重量，最終打開了它，但沒關係，一切都按照銷售廣告！只有商店關心，但在包裝上
"Comprei começo do mês passado.Passou quase 1 mês sem o produto chegar e nem chegou,tanto q cancelei.E ate no cancelamento a loja esta demorando mt pra fazer o estorno. Quero meu dinheiro de volta logo",我是上月初買的。快一個月過去了，產品還沒到，甚至還沒到，以至於我取消了它。而且即使取消，商店也需要很長時間才能退款。我希望能盡快拿回我的錢
Site péssimo,糟糕的網站
"O produto foi entregue corretamente, e dentro do prazo. Gostei da mochila. Achei o produto simples, porém bonito. É uma mochila ótima para o meu dia a dia.",產品已正確、準時交貨。我喜歡這個背包。我認為這個產品很簡單但很漂亮。這是一款非常適合我日常生活的背包。
"Produto entregue faltando peça. Já entrei em contato, foram dois e-mails através dos e-mails as lannister. Estou aguardando uma solução. Até agora nada.",產品交付時缺少零件。我已經聯繫過，蘭尼斯特電子郵件有兩封電子郵件。我正在等待解決方案。到目前為止什麼也沒有。
o anuncio era de GN mas o poduto disponivel era GLP. Tive que trocar junto a loja. A comunicaçao deu certo mas houve percalços. Em especial que a loja que vendeu e diferente da que aparece no site.,該廣告是針對天然氣的，但可用的產品是液化石油氣。我只好去商店換。溝通很順利，但也遇到了挫折。特別是，出售它的商店與網站上顯示的商店不同。
Gostei foi do jeito que estava na foto,我喜歡它在照片中的樣子
"Foi bem rápido a entrega, fiquei muito satisfeita.",交貨非常快，我非常滿意。
"Muito bom, produto conforme anunciado, entrega antes do prazo.",非常好，產品如廣告所示，提前交貨。
Gostei do serviço,我喜歡這項服務
"Comprei 3 jogos e so vieram 2 
E agora peco dinheiro ? 
Paguei e quero meu produto","我買了3個遊戲，但只來了2個
現在我要錢？ 
我付款了，我想要我的產品"
"gostei do produto, bastante funcional.",我喜歡這個產品，非常實用。
Produto chegou antes do prazo previsto,產品在預計截止日期前到達
Entrega rápida e ótimo produto,快速的交貨和優質的產品
produto veio quebrado e mas de uma semana estou tentando resolver e ninguem fala nada . um absurdo pois paguei por ele inteiro e nao pela metade .,產品到達時已損壞，我已經嘗試解決問題一周了，但沒有人說什麼。這很荒謬，因為我付了全額費用，而不是一半。
"Era pra ser um presente de aniversário, porém ñ foi cumprida a data da entrega.",本來應該是生日禮物，但交貨日期未到。
"Boa tarde !
Bom recebi um produto mas não sei nem para que serve. Era para ser uma navalhete de barbear mas não é, não estou satisfeito com o que eu recebi.","午安 !
好吧，我收到了一個產品，但我什至不知道它的用途。它應該是一把直剃刀，但事實並非如此，我對收到的東西不滿意。"
Foi entregue a cortina infantil tá faltando a cortina da sala,兒童窗簾已送達，客廳窗簾不見了
"Produto chegou, adorei, porém a entrega poderia ser mais célere. Quando estava comprando, dizia um prazo na tradicional, quando encerrei a compra, o prazo se estendeu.",產品到了，我很喜歡，但交貨速度本來可以更快。當我購買時，它以傳統方式說有截止日期，當我完成購買時，截止日期被延長。
Não recebi o produto e paguei. Muita sujeira.,我沒有收到產品並付款。很多污垢。
"O produto chegou quebrado, a caixa estava como se tivesse sido aberta diversas vezes!",產品到達時已損壞，盒子看起來好像被打開過幾次！
Eu não tive motivos para reclamar. Sempre me trataram com presteza.,我沒有理由抱怨。他們總是及時治療我。
"utilizo o site das amaericanas a muitos anos, sempre tive um bom retorno, as vezes demora,mas os produtos chegam sempre embalados. mas dessa vez não recebi, por isso a avaliação negativa.",我已經使用 Amaericanas 網站很多年了，總是得到很好的回應，有時需要一段時間，但產品總是包裝好的送達。但這次我沒有收到，所以我給了負評。
Pessima loja. Passou do.prazo não consigo falar com ninguém,糟糕的商店。已經過了截止日期，我無法和任何人交談
"É UMA VERGONHA, SE O PEDIDO FOI PREPARADO PARA ENVIO DIA 23/04/2018, ATÉ AGORA NADA.
VOCÊS VÃO ENTREGAR O PEDIDO OU NÃO!
FAVOR ME AVISAR PARA CANCELAR A COMPRA.","如果訂單已準備好在 2018 年 4 月 23 日發貨，但到現在還沒有發貨，那就太遺憾了。
您是否會交付訂單！
請讓我知道取消購買。"
produto recebido porem não gostei do sabor e testura do mesmo,產品已收到，但我不喜歡它的味道和質地
Eu gostei do produto entre.,我喜歡兩者之間的產品。
O produto veio como o combinado e no prazo certo,產品按承諾準時到達
Bom dia o único problema que eu tiver que busca o produto no correio só isso já é 3 vezes com vocês.,早安，我遇到的唯一問題是在郵件中尋找產品，這是我與您共 3 次遇到的問題。
"óculos lindo, chegou em perfeito estado. Mas não foi entregue dentro do prazo.",漂亮的眼鏡，到達時狀態完美。但它沒有按時交付。
A capa veio com as tiras abaixo do local indicado na foto.,封面上的帶子位於照片所示位置下方。
"O produto não foi entregue, fiz uma reclamação e nem responderam.",產品沒有交付，我投訴了，他們甚至沒有回應。
Prazo bom. Exatamente como ve vê na foto.,好的截止日期。正如您在照片中看到的那樣。
LOJA CONFIAVEL,可靠的商店
"produto mal acabado,deixa muito a desejar,qualidade do tecido ruim",成品品質差，還有很多不足之處，布料品質差
"ainda não tive tempo de abrir a caixa com a cadeira (verificação da perfeição do produto), Acredito que está tudo bem.",我還來不及打開椅子的盒子（檢查產品的完美程度），我相信一切都很好。
"Os fones vieram jogados e as caixinhas em cada embalagem individual, nao gostei do produto ,achei de baixa qualidade.",耳機被丟棄，每個盒子都單獨包裝，我不喜歡這個產品，我認為它質量低劣。
linda carteira do jeito que queria,漂亮的錢包正是我想要的
"Pedido chegou incompleto, abri um chamado e disseram resolver em 48 horas, porém ja ultrapassou o prazo",訂單未完成，我開了票，他們說會在 48 小時內解決，但已經超過了截止日期。
Tem mais de um mês que fiz o pedido e ainda não recebi!,下單已經一個多月了，還沒收到！
O controle remoto e uma replica que se compra em qualquer esquina nao traz o nem o nome da marca cce me sinto enganado!,遙控器是街角都能買到的仿品，連品牌名都沒有，感覺被騙了！
"Um absurdo, não foi entregue",荒謬的是，它沒有交付
"O produto é bom, porem é vendido como se fosse da Sony (original) mas na verdade não é original e sim uma réplica.",產品很好，但是賣得好像是索尼（原裝）的，但實際上它不是原裝的，而是複製品。
"Além de não ter sido frente grátis, teve um prazo muito longo de entreg, quase um mês",除了不是免費前台之外，出貨時間也很長，差不多一個月了
A,這
"Ainda não testei, porém o site da HP confirmou a originalidade.",我還沒有測試過，但惠普網站證實了它的原創性。
"MUITO BOM, JÁ USEI E DEU CERTO O PRODUTO",非常好，我已經使用過並且產品有效
"Chegou rápido, até antes da data.",它很快就到了，甚至在約會之前就到了。
"acho uma safadeza o jeito que vcs trabalham.
comprei a mercadoria e ate agora não recebi","我認為你的工作方式很頑皮。
我買了商品但還沒收到"
Comprei o cesto para roupa e o mesmo está em desnível.,我買了洗衣籃，不平整。
"Até agora não recebi meu produto, mais já comprei antes e chegou certinho... Espero receber meu produto em breve...",到目前為止我還沒有收到我的產品，但我之前已經買過它並且安全到達...我希望很快收到我的產品...
"Produto entregue no prazo, dentro das especificações, conforme o anúncio.",產品按時交付，符合規格，如廣告所示。
Muito boa loja. Produto dentro do esperado.,非常好的商店。產品符合預期。
Recebi antes do prazo e feio conforme no anúncio. Amei.,我按照廣告提前收到了它。我愛過。
Fui muito bem atendida e estou satisfeita com minha aquisição. O site de compra mais uma vez me enviou o produto dentro do prazo que eu necessitava receber meu produto.,我收到了非常好的服務，我對我的購買感到滿意。購買網站再次在我收到產品所需的期限內向我發送了產品。
NÃO RECEBI O PRODUTO!!!!!,我沒有收到產品！ ！ ！ ！
"Não recebi o produto, quero estornar a compra e receber o que paguei de volta.",我沒有收到產品，我想退款並收到我所支付的款項。
Muito boa!!,非常好！ ！
"tive que retirar no correio, não avisaram que eu teria que me deslocar para retirar, não entregaram em casa.",我必須去郵局取，他們沒有告訴我我必須去取，他們沒有把它送到我家。
Entrega bem antes do prazo e produto impecável!,提前交貨，產品無可挑剔！
"Recebi o protetor de celular maior que a tela, ainda não recebi a capa protetora",我收到了比螢幕大的手機保護膜，我還沒有收到保護套
"Sempre que vou comprar algo procuro primeiro na lannister, pois NUNCA tive nenhum problema, meu produto estava previsto para ser entregue dia 19/12 e chegou dia 05.",每當我買東西時，我都會先在蘭尼斯特尋找它，因為我從來沒有遇到任何問題，我的產品原定於 12/19 交付，並於 5 日到達。
"sempre comprei no baratheon, recebi sempre os produtos antes do prazo, agora comprei alguns produtos e estou recebendo parcialmente,do pedido falta duas cuzcuzeira...",我總是在拜拉席恩購買，我總是在截止日期之前收到產品，現在我買了一些產品，並且部分收到了，訂單中缺少兩個蒸粗麥粉......
recebi um email dizendo q não seria possivel entregar o produto pois não tinha estoque do mesmo. Estou aguardando o credito para comprar em outra loja,我收到一封電子郵件，說由於沒有庫存，因此無法交付該產品。我正在等待積分在另一家商店購買
Minha compra chegou bem antes do esperado e em perfeitas condições.,我購買的商品比預期更早到達，狀況良好。
"Até momento, não recebi informações de produto.",到目前為止，我還沒有收到產品資訊。
competentes e ágil,有能力且敏捷
Tudo ocorrido conforme esperado. Produto entregue e bem antes do prazo!,一切都如預料的那樣發生了。產品提前交付！
"A loja cumpriu com o combinado, eu recomendo.",店家滿足了約定，推薦。
Não entregaram então não tenho como avaliar o produto.,他們沒有交付，所以我無法評估該產品。
"Correu tudo normalmente. Mercadoria chegou no prazo, bem embalada. Sem nenhum oribjems",一切都很正常。商品準時到達，包裝完好。沒有任何淵源
No anuncio diz outra cor,廣告上說的是另一種顏色
Entrega rápida antes do prazo,快速交貨，提前完成
pontual no prazo de entrega,準時交貨時間
Ainda aguardando a entrega do produto,仍在等待產品交付
MUITO RÁPIDA A ENTREGA E ÓTIMO PRODUTO,非常快速的交貨和優質的產品
Gostei. Achei um pouco frágil.,我喜歡。我發現它有點脆弱。
"Estou extremamente chateada com a compra, pois até agora não tenho notícias de onde andam os produtos. O prazo de entrega já extrapolou e nada. Quero que tomem providências urgentes.",我對這次購買感到非常沮喪，因為到目前為止我還沒有關於產品在哪裡的消息。交貨時間已經超過了，什麼都沒有。我希望你採取緊急行動。
preço ótimo e entrega rápida,優惠的價格和快速的交貨
Super rápida a entrega. Gostei!!,交貨速度超快。我喜歡！ ！
"Organização, rapidez, competência, tudo de Bom! Parabéns!",組織、速度、能力，一切順利！恭喜！
Muito bom. Recomendo,非常好。我推薦
"Ela é bem delicada acho que não vou poder lavar kkkkkk, mais pelo valor pago valeu, o modelo que eu procurava ficou bonita na minha cama",它非常精緻，我想我不能洗它，哈哈，但是對於所付的價格來說，它是值得的，我正在尋找的模型放在我的床上看起來很漂亮
"PRODUTO CHEGOU EM PERFEITAS CONDIÇÕES DE USO, O PRAZO DE ENTREGA TAMBÉM FOI SATISFATORIO.",產品到達時處於完美的可用狀態，交貨時間也令人滿意。
Foi entregue bem rápido.,它很快就交付了。
"Adorei a entrega e o produto
Entregou antes do prazo e produto chegou do jeito esperado, embaladinho.. parabéns","我喜歡送貨和產品
提前交付，產品如預期到達，包裝好。恭喜"
Descosturou logo que abri o pacote,我一打開包裝就散了
"Prazo de entrega para o dia 22/08, porém ate o momento não me entregaram o produto",交貨截止日期為 22/08，但迄今為止他們還沒有將產品交付給我
É a primeira vez que não me entregam um produto. Fora isso nunca tive problemas com o site. Agora só espero meu dinheiro de volta.,這是他們第一次沒有向我交付產品。除此之外，我在該網站上從未遇到任何問題。現在我只等我的錢回來。
muito bom. gostei.,非常好。我喜歡。
"Recebi um produto que não comprei. Comprei um macaco de pelúcia e recebi um urso. O problema é que preciso do macaco de pelúcia com urgência, para desenvolver um trabalho na escola. Transtorno!!! Quer",我收到了一件我沒有購買的產品。我買了一隻毛絨猴子並收到了一隻熊。問題是我迫切需要這隻毛絨猴子，以便在學校做一個專案。紊亂！ ！ ！他想要
O produto não chegou ainda,產品尚未到達
Qualidade e Rapidez!!!!!!!!!!!!!!!!!!!!!!!!!!!,品質和速度！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！
"Parabéns para loja, o produto chegou bem embalado, antecipadamente, recomendo",恭喜店家，產品到貨了，包裝完好，提前推薦一下
O produto já chegou em casa um pouco demorado,產品到家有點晚了
"Produto dentro do esperado 
Estampas diversas e bonitas 
Ainda não testei para ver se enxuga bem.","產品符合預期
多樣化且精美的印花
我還沒有測試過它是否乾燥得很好。"
Os produtos chegaram e nós adoramos eles.,產品到了，我們很喜歡。
produto muito bom otimo recomendo,非常好的產品，我推薦它
Adorei combinou com minha sala.,我很喜歡它，它和我的客廳很相配。
Até agora não recebi meu produto,到目前為止我還沒有收到我的產品
"Comprei o produto,a entrega dentro do esperado,o produto em perfeito estado!!
Eu recomendo!!!!
Muito bom pode confiar!!","我購買了該產品，交貨如期，產品狀況完美！
我推薦！ ！ ！ ！
非常好，值得信賴！ ！"
"Amei....perfeito, igual ao site, cores, desenho.",我喜歡它......完美，就像網站、顏色、設計一樣。
Bem.legal os canudos,嗯……不錯的吸管
"Entrega rápida, produto com ótimo funcionamento.",交貨快，產品效果很好。
"Excelente produto, entrega antes do esperado",優秀的產品，交貨早於預期
Considero o valor do frete e o prazo de entrega um pouco altos. Gostaria que cobrassem frete mais barato e entregassem mais rápido. Mas cumpriram o prazo prometido e entregaram os produtos corretos,我認為運輸成本和交貨時間有點高。我希望他们能收取更便宜的运费并更快地交付。但他们按照承诺的期限交付了正确的产品
Produto Travou. Não destrava. 6 dias da compra e agora amanhã é feriado... Como devolver?,產品崩潰。不解鎖。購買後 6 天，現在明天是假期...我該如何退貨？
Entregue antes do prazo 10 dias. Recomendo demais. E o produto veio exatamente o que comprei.,於截止日期前10天交付。我強烈推薦它。該產品正是我買的。
Esta loja é muito boa nota 1000,這家店很好評分1000
"A capa vendida não é igual à apresentada na foto... Tudo diferente... Furação, textura, acabamento, forma/design...
É lamentável como a turma aqui nesse país gosta de passar a perna...","出售的封面與照片中顯示的不一樣...一切都不一樣...鑽孔、紋理、表面處理、形狀/設計...
可惜這個國家的人都這麼喜歡作弊…"
"Comprei 2 mosqueteiros e me cobraram 2 fretes..... não achei justo isso, mas tá bom.....",我買了2個火槍手，他們收了我2個運費…我覺得這不公平，但沒關係…
"Relógio lindo, apenas menor que o esperado.
Mas veio tudo certinho, na caixa com garantia etc. Comprei pela mega Mix.","手錶很漂亮，但比想的還要小。
但一切都很好，在盒子裡有保固等。我從 Mega Mix 買的。"
"Muito bom , super amei !!!",非常好，非常喜歡！ ！ ！
Amei o produto. Entrega antes do prazo determinado.,我喜歡這個產品。在指定期限前交貨。
"amei, do jeito que eu esperava, super rapido na entrega, adorei adorei",我喜歡它，正如我所期望的那樣，交貨超快，我喜歡它，我喜歡它
"Não gostei da qualidade do produto, muito frágil. Sem contar que tive vários problemas com a entrega. O prazo era de 14 dias e chegou quase um mês depois é ninguém me atualizava sobre o atraso.",我不喜歡該產品的質量，它非常脆弱。更不用說我在交付方面遇到了一些問題。截止日期是 14 天，幾乎一個月後才到達，但沒有人向我通報延遲情況。
Eu não tenho como avaliar o produto porque não chegou na minha residência ainda eu espero uma posição da loja sobre os correios quero cancelar a compra estorno do cartão,我無法評估該產品，因為它還沒有到達我家。我仍在等待商店關於郵局的回覆。我想取消購買，退還卡費
Maravilhosa cortina!!!!,很棒的窗簾！ ！ ！
"Eu comprei um produto e me enviaram outro, comprei capa e película para o redmi note 4X, e mandaram para o redmi note 4, que é incompatível.
Indignação, com a falta de compromisso.","我買了一個產品，他們又給我發了另一個，我買了紅米 Note 4X 的封面和貼膜，他們給紅米 Note 4 發了，這是不相容的。
憤怒，缺乏承諾。"
Recomendo são bem pontual,我建議他們非常準時
"Foi rápido, antes do esperado, estou muito feliz com a compra, parabéns à todos.",速度很快，比預期的早，我對購買感到非常滿意，恭喜大家。
"O produto chegou em uma semana mais ou menos, bem embalando e lacrado, muito bonito. Estou feliz com o serviço.",產品在一周左右到達，包裝完好，密封良好，非常漂亮。我對這項服務很滿意。
"Fiquei ate surpreso me enviaram um brinde, gostei mesmo foi minha primeira compra na loja, farei novas.",我甚至很驚訝他們給我送了一份禮物，我真的很喜歡它，這是我第一次在商店購買，我會做新的。
Muito bom... Empresa séria,非常好...認真的公司
Eu compraria denovo,我會再次購買
"Eu comprei uma prancha profissional anti frizz 230 bivolte, e a que chegou foi foi a CP9 profissional e ela nao está dizendo que é anti-friz, fora que eu não gostei do alisamento dela.",我買了一個專業的防毛躁230雙伏直髮器，到貨的是專業的CP9，它沒有說它是防毛躁的，除了我不喜歡它的直發功能。
Loja mal organizada,商店組織混亂
Produto não tem clareza na informação.,產品資訊缺乏清晰度。
Chegou no prazo adequado.,它在適當的時間內到達。
